4010101001;Nama Produk;;Nama Material;;Jumlah Per Karton;Satuan
;;2010717007;CARTON BOX SINGLE WALL 10S & 24S NO 4 ;;1;PCS
;;2010601002;PLASTIK BANDED 24S ;;3;PCS
;;2010104002;PACKAGING WKN BABY PINK 24S @6060;;6;PCS
;;2010300004;STC REMOVABLE TRANSPARANT ORG @5800;;6;PCS
;;2010500004;KERTAS LABEL FOOD GRADE ALOE VERA ;;6;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,000455736;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,000683604;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,24%;0,001367207;KG
;;1050200004;PARFUM BABY YELLOW MOD I ;0,06%;0,000341802;KG
;;1050200011;PARFUM INTENSIVE SOFT 1 E20009234 ;0,10%;0,00056967;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,15%;0,000854505;KG
;;1050100037;CHEMICAL AQUADEST ;99,25%;0,565397237;KG
;;;;;;
4010107002;WETKINS BABY PINK 24S FG @54;3020301005;JR FN 40-76 H 30% R/70%P 27 CM;;1,294704;KG
;;2010717001;CARTON BOX HOUSE BRAND 10S ;;1;PCS
;;2010104002;PACKAGING WKN BABY PINK 24S @6060;;54;PCS
;;2010300004;STC REMOVABLE TRANSPARANT ORG @5800;;54;PCS
;;2010500004;KERTAS LABEL FOOD GRADE ALOE VERA ;;54;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,004101622;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,006152433;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,24%;0,012304867;KG
;;1050200004;PARFUM BABY YELLOW MOD I ;0,06%;0,003076217;KG
