Kode Produk;Nama Produk;Nama Material;Jumlah Per Karton;Satuan
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,006152433;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,012304867;KG
;;PARFUM BABY YELLOW MOD I ;0,003076217;KG
;;PARFUM INTENSIVE SOFT 1 E20009234 ;0,005127028;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,007690542;KG
;;CHEMICAL AQUADEST ;5,088575131;KG
;;;;
4010107005;WETKINS BABY PINK 24S FG MLN @54;;;
;;;;
4010107003;WETKINS BABY PINK 24S BND @27X2;JR FN 40-76 H 30% R/70%P 27 CM;1,294704;KG
;;CARTON BOX HOUSE BRAND 10S ;1;PCS
;;PACKAGING WKN BABY PINK 24S @6060;54;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;54;PCS
;;PLASTIK BANDED 24S ;27;PCS
;;KERTAS LABEL FOOD GRADE ALOE VERA ;54;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,004101622;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,006152433;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,012304867;KG
;;PARFUM BABY YELLOW MOD I ;0,003076217;KG
;;PARFUM INTENSIVE SOFT 1 E20009234 ;0,005127028;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,007690542;KG
;;CHEMICAL AQUADEST ;5,088575131;KG
;;;;
4010108001;WETKINS BABY PINK 50S @24;JR FN 40-76 H 20% R/80%P 36 CM;1,1232;KG
;;CARTON BOX WETKINS 50S ;1;PCS
;;PACKAGING WETKINS BABY PINK 50S @5714;24;PCS
;;STC REMOVABLE TRANSPARANT 38X70 MM @5400;24;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,003657139;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,005485709;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,010971418;KG
;;PARFUM BABY YELLOW MOD I ;0,002742854;KG
;;PARFUM INTENSIVE SOFT 1 E20009234 ;0,004571424;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,006857136;KG
;;CHEMICAL AQUADEST ;4,53713832;KG
;;;;
4010108005;WETKINS BABY PINK 50S @6;JR FN 40-76 H 30% R/70%P 37 CM (WETKINS);0,2808;KG
;;CARTON BOX SINGLE WALL 10S & 24S NO 4 ;1;PCS
;;PACKAGING WETKINS BABY PINK 50S @5714;6;PCS
;;STC REMOVABLE TRANSPARANT 38X70 MM @5400;6;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,000914285;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,001371427;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,002742854;KG
;;PARFUM BABY YELLOW MOD I ;0,000685714;KG
;;PARFUM INTENSIVE SOFT 1 E20009234 ;0,001142856;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,001714284;KG
;;CHEMICAL AQUADEST ;1,13428458;KG
;;;;
3050102001;WIP WETKINS BABY PINK 50S ;JR FN 40-76 H 20% R/80%P 36 CM ADPZ40;1,1232;KG
;;PACKAGING WETKINS BABY PINK 50S @5714;24;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;24;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,00208;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,00499;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,00374;KG
;;PARFUM BABY YELLOW MOD I ;0,00249;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,00519;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,01247;KG
;;CHEMICAL AQUADEST ;4,12488;KG
;;;;
4010108002;WETKINS BABY PINK 50S BND @12X2;WIP WETKINS BABY PINK 50S ;24;PCK
;;CARTON BOX WETKINS 50S ;1;PCS
;;PARTISI COAK 1 205 X 190 MM WETKINS 50S  ;1;PCS
;;PARTISI COAK 1 355 X 190 MM WETKINS 50S  ;1;PCS
;;POLYBAG WETKINS PINK 50S @4615;12;PCS
;;;;
4010108007;WETKINS BABY PINK 50S BND MCT @12X2;JR FN 40-76 H 20% R/80%P 36 CM;1,1232;KG
;;CARTON BOX WETKINS 50S ;1;PCS
;;PACKAGING WETKINS BABY PINK 50S 01/22 @4761;24;PCS
;;STC REMOVABLE TRANSPARANT 38X70 MM @5400;24;PCS
;;POLYBAG WETKINS PINK 50S BND 06/22 @4615;12;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,002285712;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,005485709;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,013714272;KG
;;PARFUM MUSCUTE ;0,009142848;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,00571428;KG
;;CHEMICAL AQUADEST ;4,535081179;KG
;;;;
4010108008;WETKINS BABY PINK 50S BND MCT OL @18X2;JR FN 40-76 H 20% R/80%P 36 CM;1,6848;KG
;;CARTON BOX WETKINS 50S ;1;PCS
;;PACKAGING WETKINS BABY PINK 50S @5714;36;PCS
;;STC REMOVABLE TRANSPARANT 38X70 MM @5400;36;PCS
;;POLYBAG WETKINS PINK 50S @4615;18;PCS
;;STC LABEL QR ;18;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,005485709;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,008228563;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,020571408;KG
;;PARFUM MUSCUTE ;0,013714272;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,010285704;KG
;;CHEMICAL AQUADEST ;6,798850344;KG
;;;;
4010108009;WETKINS BABY PINK 50S MCT @36;JR FN 40-76 H 20% R/80%P 36 CM;1,6848;KG
;;CARTON BOX BIO-KARPELA FEMININE HGN 10S ;1;PCS
;;PACKAGING WETKINS BABY PINK 50S 01/22 @4761;36;PCS
;;STC REMOVABLE TRANSPARANT 38X70 MM @5400;36;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,002285712;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,005485709;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,013714272;KG
;;PARFUM MUSCUTE ;0,009142848;KG
